Name,Shortform,Price,24H change,24H volume,Market Cap
Bitcoin,BTC,"$27,180.05",+5.26%,$20.48 B,$527.15 B
Ethereum,ETH,"$1,892.27",+4.76%,$8.21 B,$227.52 B
Tether,USDT,$1.00,-0.00%,$29.51 B,$83.22 B
BNB,BNB,$284.66,+2.93%,$667.2 M,$44.37 B
USD Coin,USDC,$0.9998,-0.01%,$4.18 B,$28.68 B
XRP,XRP,$0.531,+5.23%,$1.6 B,$27.6 B
Cardano,ADA,$0.3561,+1.54%,$259.7 M,$12.42 B
Dogecoin,DOGE,$0.07081,+6.38%,$455.22 M,$9.89 B
Solana,SOL,$20.64,+3.08%,$438.9 M,$8.21 B
Polygon,MATIC,$0.8283,-0.87%,$427.51 M,$7.69 B
TRON,TRX,$0.07823,+0.37%,$240.85 M,$7.05 B
Litecoin,LTC,$90.92,+4.22%,$627.71 M,$6.64 B
Polkadot,DOT,$5.25,+4.09%,$121.51 M,$6.26 B
Binance USD,BUSD,$0.9997,+0.05%,$2.56 B,$5.05 B
Avalanche,AVAX,$14.64,+5.18%,$164.92 M,$5.04 B
Shiba Inu,SHIB,$0.000008192,+3.21%,$104.91 M,$4.83 B
Dai,DAI,$0.9997,-0.01%,$159.33 M,$4.79 B
Cosmos,ATOM,$10.26,+3.01%,$76.4 M,$3.56 B
UNUS SED LEO,LEO,$3.51,-1.57%,$1.21 M,$3.26 B
Chainlink,LINK,$6.30,+4.28%,$179.56 M,$3.26 B
Uniswap,UNI,$4.82,+2.28%,$45.58 M,$2.78 B
OKB,OKB,$45.44,+4.43%,$9.16 M,$2.73 B
Monero,XMR,$146.88,+3.75%,$70.82 M,$2.69 B
Ethereum Classic,ETC,$17.62,+3.69%,$102.58 M,$2.49 B
Stellar,XLM,$0.08914,+0.61%,$46.5 M,$2.39 B
Bitcoin Cash,BCH,$113.17,+4.19%,$102.69 M,$2.2 B
Lido DAO Token,LDO,$2.43,+14.73%,$105.18 M,$2.14 B
Cryptonex,CNX,$19.79,+5.91%,$3.16 M,$2.13 B
TrueUSD,TUSD,$1.00,+0.14%,$3.02 B,$2.07 B
Toncoin,TON,$1.67,+1.30%,$10.73 M,$2.04 B
